iter	Passed	Remaining
0	173	173347
1	178	89012
2	183	60901
3	188	46935
4	193	38555
5	198	32954
6	204	28945
7	209	25938
8	214	23611
9	219	21709
10	224	20190
11	229	18911
12	234	17802
13	239	16890
14	246	16178
15	251	15452
16	256	14809
17	260	14236
18	263	13624
19	267	13091
20	269	12558
21	271	12076
22	274	11675
23	276	11264
24	278	10869
25	280	10504
26	282	10165
27	283	9854
28	285	9552
29	286	9273
30	288	9019
31	289	8769
32	291	8547
33	292	8324
34	294	8113
35	295	7913
36	296	7721
37	297	7540
38	299	7368
39	300	7204
40	301	7045
41	302	6895
42	303	6758
43	304	6626
44	306	6495
45	307	6369
46	308	6248
47	309	6131
48	310	6021
49	311	5913
50	312	5809
51	313	5709
52	314	5615
53	315	5522
54	316	5432
55	317	5349
56	318	5267
57	319	5191
58	320	5115
59	321	5040
60	322	4968
61	323	4897
62	324	4830
63	325	4764
64	326	4701
65	327	4639
66	328	4579
67	329	4520
68	330	4464
69	331	4408
70	333	4358
71	334	4309
72	335	4260
73	336	4210
74	337	4161
75	338	4114
76	339	4067
77	340	4021
78	341	3978
79	342	3934
80	343	3893
81	344	3852
82	344	3808
83	345	3769
84	347	3740
85	348	3707
86	349	3670
87	350	3636
88	351	3601
89	352	3567
90	353	3534
91	354	3501
92	355	3469
93	356	3438
94	357	3408
95	358	3379
96	359	3349
97	360	3321
98	361	3293
99	362	3264
100	365	3254
101	367	3237
102	370	3223
103	372	3209
104	374	3194
105	378	3188
106	380	3175
107	382	3160
108	384	3145
109	387	3131
110	389	3117
111	391	3104
112	393	3091
113	396	3080
114	398	3069
115	400	3055
116	402	3040
117	405	3028
118	407	3019
119	410	3008
120	412	2997
121	414	2982
122	416	2971
123	418	2959
124	421	2952
125	424	2943
126	426	2930
127	428	2920
128	431	2911
129	433	2900
130	435	2891
131	438	2881
132	440	2872
133	442	2862
134	445	2854
135	447	2845
136	450	2836
137	452	2829
138	455	2820
139	457	2809
140	460	2802
141	461	2788
142	463	2780
143	466	2773
144	469	2765
145	471	2757
146	473	2748
147	475	2739
148	478	2731
149	481	2726
150	483	2717
151	485	2709
152	487	2700
153	490	2692
154	492	2684
155	494	2675
156	496	2667
157	498	2657
158	500	2647
159	502	2638
160	503	2624
161	505	2615
162	507	2605
163	509	2599
164	512	2593
165	515	2587
166	517	2579
167	519	2571
168	521	2564
169	523	2557
170	526	2550
171	528	2543
172	530	2535
173	532	2527
174	534	2520
175	536	2512
176	539	2508
177	541	2501
178	544	2495
179	546	2487
180	547	2479
181	549	2471
182	552	2464
183	554	2459
184	557	2454
185	559	2447
186	561	2440
187	563	2434
188	565	2427
189	568	2422
190	570	2416
191	573	2411
192	575	2405
193	577	2399
194	579	2393
195	582	2389
196	584	2383
197	587	2378
198	589	2371
199	591	2364
200	593	2358
201	595	2352
202	597	2347
203	600	2341
204	602	2336
205	604	2330
206	606	2324
207	609	2319
208	611	2316
209	614	2311
210	616	2306
211	619	2301
212	621	2294
213	623	2288
214	625	2283
215	628	2279
216	630	2274
217	632	2268
218	634	2263
219	636	2257
220	639	2252
221	641	2248
222	643	2243
223	646	2239
224	648	2233
225	650	2228
226	652	2222
227	654	2217
228	657	2213
229	660	2209
230	662	2204
231	664	2200
232	666	2195
233	669	2190
234	671	2186
235	674	2182
236	676	2178
237	678	2173
